gpsUnix,gpsGroundSpeed,gpsLat,gpsLon,gpsAlt,bmeUtc,bmeTemp,bmeHum,bmePres,bmeAlt,vemlUtc,vemlLux,batt
1775430570,0.031,37.64899445,-119.0116653,2655.175049,83352064,28.98689842,14.35989952,74255.1875,2655.120605,83351975,68707.76563,347.84
1775430573,0.009,37.64899826,-119.0116653,2655.926025,83355075,29.17779922,14.12874413,74256.73438,2655.622559,83355061,68182.50781,350.48
1775430576,0.035,37.64899826,-119.0116653,2656.655029,83358064,29.35362244,14.15199089,74250.72656,2657.963623,83358050,67952.60938,343.87
1775430579,0.034000002,37.64899826,-119.0116653,2656.737061,83361075,29.56462097,14.4375658,74254.53906,2657.364014,83361061,68119.73438,338.58
1775430582,0.031,37.64899826,-119.0116653,2656.769043,83364064,29.75049782,14.84624672,74252.57031,2657.768311,83364050,67661.09375,337.26
1775430585,0.022,37.64899826,-119.0116653,2656.662109,83367075,29.93637466,15.25677967,74253.47656,2657.844727,83367061,67370.78125,335.94
1775430588,0.023,37.64899826,-119.0116653,2656.128906,83370065,30.13229752,15.64894867,74258.4375,2656.510498,83370051,67122.89063,337.26
1775430591,0.015,37.64899063,-119.0116653,2655.816895,83373075,30.33827209,15.71105862,74247.10156,2656.507813,83373061,67164.15625,341.23
1775430594,0.041999999,37.64898682,-119.0116577,2656.053955,83376085,30.54424667,15.56067753,74253.17969,2656.74292,83376071,66978.69531,338.58
1775430597,0.034000002,37.64898682,-119.0116501,2657.465088,83379095,30.7451973,15.67439651,74264.5,2656.29126,83379081,66711.69531,331.97
1775430600,0.044,37.648983,-119.0116501,2658.518066,83382084,30.94112206,15.86605263,74257.78125,2658.460449,83382070,66588.82031,331.97
1775430603,0.043000002,37.64898682,-119.0116501,2659.370117,83385095,31.15212059,16.07462311,74270.21875,2658.505371,83385081,66486.57031,339.9
1775430606,0.027000001,37.64898682,-119.0116501,2660.133057,83388084,31.35809708,16.28352737,74252.96875,2661.134521,83388070,66466.14063,335.94
1775430609,0.044,37.64898682,-119.0116501,2660.628906,83391095,31.56909561,16.28407478,74259.5625,2661.197754,83391081,66364.09375,329.32
1775430612,0.07,37.64899063,-119.0116501,2660.746094,83394084,31.77507401,16.2425518,74259.75,2661.187256,83394070,65896.57031,320.06
1775430615,0.052999999,37.64899063,-119.0116501,2660.648926,83397095,31.98104858,16.28990555,74268.66406,2661.150391,83397081,65694.29688,326.68
1775430618,0.027000001,37.64898682,-119.0116501,2659.793945,83400084,32.19707489,16.32215691,74264.13281,2660.114502,83400070,65977.64844,316.1
1775430621,0.077,37.64897537,-119.0116425,2657.769043,83403095,32.39802551,16.34842682,74260.78906,2659.081299,83403081,65532.90625,322.71
1775430624,0.023,37.64897537,-119.0116425,2657.437012,83406105,32.60400772,16.42219925,74269.67188,2656.320313,83406091,65392.00391,310.81
1775430627,0.067000002,37.64897537,-119.0116425,2657.88501,83409095,32.82003021,16.49663353,74276.76563,2657.953125,83409081,65011.05078,310.81
1775430630,0.037999999,37.64897537,-119.0116425,2657.993896,83412084,33.02600861,16.57066727,74273.94531,2658.061523,83412070,64851.28125,322.71
1775430633,0.015,37.64897156,-119.0116425,2658.148926,83415097,33.23701477,16.64509964,74268.76563,2658.650635,83415083,64891.17578,321.39
1775430636,0.006,37.64897156,-119.0116425,2658.384033,83418107,33.43797302,16.66117859,74268.26563,2658.946533,83418093,64632.22266,310.81
1775430639,0.004,37.64897156,-119.0116425,2658.754883,83421097,33.65902328,16.62568092,74275.88281,2658.761719,83421083,64731.71484,318.74
1775430642,0.016000001,37.64897156,-119.0116425,2658.681885,83424089,33.87002563,16.65286636,74267.71875,2659.253174,83424075,64314.88281,321.39
1775430645,0.017999999,37.64897156,-119.0116348,2658.563965,83427100,34.07601166,16.63762665,74270.67969,2658.508057,83427086,64394.0625,305.52
1775430648,0.059999999,37.64896774,-119.0116348,2658.791992,83430090,34.27194214,16.59019089,74272.46875,2659.234619,83430076,64176.5,301.55
1775430651,0.041000001,37.64896774,-119.0116272,2658.854004,83433082,34.47792816,16.50108528,74269.54688,2659.29541,83433068,63920.30859,305.52
1775430654,0.02,37.64896774,-119.0116272,2659.250977,83436093,34.69898224,16.29684258,74271.24219,2658.198975,83436079,63763.13672,300.23
1775430657,0.014,37.64896393,-119.0116272,2659.229004,83439103,34.89994049,16.20219231,74270.64844,2659.237305,83439089,64176.5,310.81
1775430660,0.082999997,37.64896393,-119.0116272,2659.071045,83442093,35.0958786,16.1704464,74266.53125,2659.451416,83442079,64038.42188,309.48
1775430663,0.032000002,37.64897156,-119.0116348,2658.51709,83445082,35.30185699,16.13921547,74275.26563,2658.270264,83445068,63900.63281,304.19
1775430666,0.01,37.64897156,-119.0116348,2658.513916,83448092,35.50282288,16.04975319,74274.625,2658.267578,83448078,63586.78125,304.19
1775430669,0.028999999,37.64897156,-119.0116425,2658.64502,83451102,35.69875717,15.98634148,74276.32813,2657.89502,83451088,63274.40234,298.9
1775430672,0.005,37.64897537,-119.0116425,2658.579102,83454091,35.89971924,15.87051487,74272.71875,2658.901611,83454077,63254.94531,300.23
1775430675,0.016000001,37.64897537,-119.0116425,2658.745117,83457101,36.09565735,15.77547646,74274.40625,2658.621582,83457087,63060.53516,298.9
1775430678,0.011,37.64897537,-119.0116501,2659,83460091,36.29661942,15.68068409,74270.77344,2659.379883,83460077,63391.37891,296.26
1775430681,0.017999999,37.64897537,-119.0116501,2659.083008,83463101,36.49256134,15.59613609,74275.36719,2659.03125,83463087,62886.05078,288.32
1775430684,0.01,37.64897537,-119.0116501,2659.110107,83466111,36.68347168,15.39040756,74270.5625,2659.432861,83466097,63021.71094,297.58
1775430687,0.005,37.64897537,-119.0116501,2659.060059,83469101,36.83922195,14.31520939,74270.57813,2659.189697,83469087,62828,292.29
1775430690,0.009,37.64897537,-119.0116501,2658.863037,83472091,37.01004028,12.61087513,74263.47656,2659.18457,83472077,62673.44141,287
1775430693,0.014,37.64897537,-119.0116501,2658.679932,83475105,37.17081451,11.24886036,74269.92188,2658.687744,83475091,62750.67188,297.58
1775430696,0.015,37.64897537,-119.0116501,2658.579102,83478095,37.32153702,10.30375671,74269.33594,2658.901611,83478081,62403.85938,287
1775430699,0.009,37.64897537,-119.0116501,2658.465088,83481106,37.50742722,9.652145386,74272.73438,2658.534424,83481092,62596.29688,288.32
1775430702,0.013,37.64897537,-119.0116501,2658.263916,83484095,37.69834518,9.338188171,74270.79688,2658.526611,83484081,62365.44922,288.32
1775430705,0.015,37.64897537,-119.0116501,2658.030029,83487085,37.85911942,9.563648224,74277.21094,2658.098389,83487071,62078.03516,277.74
1775430708,0.015,37.64897537,-119.0116501,2657.634033,83490095,38.02994156,10.00131893,74267.10156,2658.331055,83490081,62192.83594,288.32
1775430711,0.013,37.64897537,-119.0116501,2657.193115,83493085,38.20578766,10.53238869,74275.20313,2655.942383,83493071,62135.41016,287
1775430714,0.022,37.64897537,-119.0116425,2656.85791,83496096,38.3866539,10.9498024,74272.08594,2656.999268,83496082,62020.71094,283.03
1775430717,0.008,37.64897156,-119.0116425,2656.728027,83499106,38.55245209,11.28700352,74270.20313,2657.181641,83499092,61677.83203,277.74
1775430720,0.01,37.64897156,-119.0116425,2656.63501,83502096,38.71323013,11.49238586,74273.63281,2656.581787,83502082,61829.99609,280.39
1775430723,0.012,37.64897156,-119.0116425,2656.49292,83505106,38.87902832,11.72926617,74271.72656,2656.5,83505092,61944.35156,281.71
1775430726,0.011,37.64897156,-119.0116425,2656.417969,83508095,39.03980255,11.97179222,74275.14063,2657.115479,83508081,61715.82813,272.45
1775430729,0.007,37.64897156,-119.0116425,2656.368896,83511106,39.2005806,12.1635685,74275.59375,2656.885742,83511092,61639.83594,277.74
1775430732,0.015,37.64897156,-119.0116425,2656.147949,83514095,39.35633087,12.26797199,74275.47656,2655.213135,83514081,61280.14844,268.48
1775430735,0.009,37.64897537,-119.0116501,2655.940918,83517105,39.52715302,12.38868809,74277.04688,2655.886963,83517091,60903.72266,271.13
1775430738,0.006,37.64897537,-119.0116501,2655.875,83520096,39.67285538,12.44655323,74278.72656,2656.259521,83520082,60978.82422,272.45
1775430741,0.013,37.64897537,-119.0116501,2655.985107,83523086,39.81855774,12.01424789,74277.45313,2656.053467,83523072,60809.98047,267.16
1775430744,0.002,37.64897537,-119.0116501,2656.165039,83526097,39.98938751,11.34319592,74279.00781,2655.85791,83526083,60660.27344,267.16
1775430747,0.004,37.64897537,-119.0116501,2656.461914,83529107,40.14011383,11.02671814,74278.27344,2656.785156,83529093,60997.62109,263.19
1775430750,0.009,37.64897156,-119.0116577,2656.791992,83532097,40.28581619,10.85860538,74276.97656,2657.118164,83532083,60548.23438,269.81
1775430753,0.006,37.64897156,-119.0116577,2657.086914,83535086,40.44157028,10.71647453,74273.84375,2657.35083,83535072,60417.77344,263.19
1775430756,0.007,37.64897156,-119.0116577,2657.204102,83538096,40.59230042,10.80891228,74281.96094,2657.525146,83538082,60194.76172,268.48
1775430759,0.009,37.64897156,-119.0116577,2657.168945,83541107,40.74303055,10.96288967,74281.21094,2656.798584,83541093,59972.55859,263.19
1775430762,0.003,37.64897156,-119.0116577,2657.024902,83544096,40.88370895,11.09119606,74273.39844,2657.35083,83544082,59769.60156,260.55
1775430765,0.003,37.64897156,-119.0116577,2656.858887,83547107,41.02941513,11.26101589,74275.02344,2657.303223,83547093,60046.53906,265.84
1775430768,0.015,37.64897156,-119.0116577,2656.7229,83550099,41.18516922,11.32879734,74280.71094,2656.550049,83550085,59659.16016,252.61
1775430771,0.004,37.64897156,-119.0116577,2656.48999,83553089,41.3308754,11.34484768,74279.35938,2656.497314,83553075,59824.89063,264.52
1775430774,0.011,37.64897156,-119.0116577,2656.236084,83556102,41.46652985,11.33993816,74273.90625,2656.560791,83556088,59000.78906,257.9
1775430777,0.01,37.64897156,-119.0116577,2656.042969,83559091,41.61223984,11.27883148,74278.45313,2656.367676,83559077,59000.78906,267.16
1775430780,0.008,37.64897156,-119.0116577,2656.167969,83562102,41.7478981,11.22759819,74278.91406,2656.489258,83562088,59018.98438,257.9
1775430783,0.009,37.64897156,-119.0116577,2656.395996,83565095,41.87853241,11.22759342,74278.79688,2656.526367,83565081,58946.25391,257.9
1775430786,0.002,37.64897156,-119.0116577,2656.644043,83568108,42.0342865,11.18740559,74284.45313,2655.70459,83568094,58367.57031,263.19
1775430789,0.005,37.64897156,-119.0116577,2656.98999,83571100,42.17999649,11.2085762,74280.10156,2656.621338,83571086,58583.92578,263.19
1775430792,0.015,37.64897156,-119.0116577,2657.076904,83574090,42.3106308,11.22402382,74279.96094,2656.769531,83574076,58349.57422,249.97
1775430795,0.007,37.64897156,-119.0116577,2657.168945,83577101,42.45131302,11.16259193,74286.86719,2656.166992,83577087,58259.69922,251.29
1775430798,0.005,37.64897156,-119.0116577,2657.631104,83580090,42.58194733,11.13680649,74280.79688,2657.699463,83580076,58134.09375,257.9
1775430801,0.015,37.64897156,-119.0116577,2657.920898,83583100,42.7276535,11.13221455,74276.40625,2658.563477,83583086,57812.32422,248.65
1775430804,0.018999999,37.64897537,-119.0116577,2658.302979,83586090,42.85326767,11.12683105,74284.57031,2658.053467,83586076,57990.86328,252.61
1775430807,0.008,37.64897537,-119.0116577,2658.480957,83589100,42.98892975,11.04965878,74279.03906,2658.806641,83589086,57990.86328,257.9
1775430810,0.023,37.64897537,-119.0116577,2658.62207,83592111,43.12961197,10.93145466,74282.96094,2658.69043,83592097,57563.28125,251.29
1775430813,0.016000001,37.64897537,-119.0116577,2658.638916,83595102,43.26527023,10.95731449,74277.40625,2659.974609,83595088,57705.46875,248.65
1775430816,0.012,37.64897537,-119.0116577,2658.583984,83598092,43.3908844,10.96218395,74279.63281,2659.028564,83598078,57492.32031,246
1775430819,0.004,37.64897537,-119.0116577,2658.577881,83601104,43.52654266,10.95713139,74285.9375,2658.584717,83601090,57103.57422,175.9
1775430822,0.01,37.64897537,-119.0116577,2659.13208,83604095,43.64713287,11.02375412,74281.64063,2659.834473,83604081,56892.64453,166.65
1775430825,0.018999999,37.64897537,-119.0116577,2659.166992,83607086,43.78781509,10.99825859,74273.66406,2660.125,83607072,56927.74219,157.39
1775430828,0.024,37.64897919,-119.0116577,2659.103027,83610097,43.9084053,10.93582058,74275.29688,2660.437012,83610083,56195.07031,136.23
1775430831,0.014,37.64897919,-119.0116577,2658.99707,83613106,44.03401947,10.89938068,74277.48438,2659.757813,83613092,56351.27344,145.48
1775430834,0.002,37.64897919,-119.0116577,2658.861084,83616095,44.15460587,10.83691502,74282.07813,2659.623047,83616081,56281.78906,142.84
1775430837,0.01,37.64897919,-119.0116577,2658.763916,83619106,44.27519226,10.82606888,74286.67188,2657.881836,83619092,56125.78125,154.74
1775430840,0.007,37.64897919,-119.0116577,2658.914063,83622095,44.38573074,10.76318836,74281.22656,2659.361572,83622081,56351.27344,149.45
1775430843,0.011,37.64897919,-119.0116577,2659.087891,83625085,44.49626923,10.56101036,74290.61719,2658.52124,83625071,55815.03516,144.16
1775430846,0.013,37.64897919,-119.0116577,2659.337891,83628096,44.60178375,10.44641876,74284.59375,2659.287598,83628082,56195.07031,145.48
1775430849,0.012,37.64897919,-119.0116501,2659.541992,83631109,44.69725037,10.38814926,74283.39063,2659.609863,83631095,56091.17578,142.84
1775430852,0.002,37.648983,-119.0116577,2659.102051,83634099,44.79271698,10.27838326,74279.20313,2659.42749,83634085,56160.40625,141.52
1775430855,0.011,37.648983,-119.0116577,2658.816895,83637086,44.89321136,10.06598854,74278.54688,2658.825195,83637072,56560.23047,130.94
1775430858,0.01,37.648983,-119.0116577,2658.764893,83640097,44.98365021,9.786797524,74279.74219,2659.150146,83640083,56542.78125,134.9
1775430861,0.017000001,37.648983,-119.0116577,2658.667969,83643107,45.07409287,9.615657806,74274.98438,2659.490967,83643093,56455.66406,133.58
1775430864,0.005,37.648983,-119.0116577,2658.521973,83646095,45.17458344,9.56789875,74289.19531,2657.51709,83646081,56595.12109,134.9
1775430867,0.007,37.64897919,-119.0116577,2658.291016,83649105,45.25497818,9.529683113,74280.33594,2659.115723,83649091,56073.875,132.26
1775430870,0.003,37.64897919,-119.0116577,2658.103027,83652092,45.35546875,9.471663475,74285.61719,2657.932129,83652078,56647.52734,133.58
1775430873,0.017000001,37.64897919,-119.0116577,2658.009033,83655101,45.44088745,9.510447502,74274.32813,2659.229492,83655087,56717.4375,136.23
1775430876,0.015,37.64897919,-119.0116577,2658.0271,83658089,45.51625443,9.574557304,74288.70313,2657.458984,83658075,56473.06641,123
1775430879,0.01,37.64897919,-119.0116577,2658.066895,83661098,45.59664917,9.690243721,74276.85156,2658.830322,83661084,56525.33984,126.97
1775430882,0.005,37.64897919,-119.0116577,2658.061035,83664106,45.68709183,9.734502792,74281.00781,2658.386475,83664092,56682.47266,129.61
1775430885,0.008,37.64897919,-119.0116577,2658.199951,83667095,45.75743485,9.55723381,74282.89844,2658.904297,83667081,56910.17969,130.94
1775430888,0.003,37.64897919,-119.0116577,2658.259033,83670106,45.84285355,9.129816055,74286.48438,2658.706299,83670092,56875.09766,136.23
