gpsUnix,gpsGroundSpeed,gpsLat,gpsLon,gpsAlt,bmeUtc,bmeTemp,bmeHum,bmePres,bmeAlt,vemlUtc,vemlLux,batt
1771194649,2.628000021,33.81254578,-118.1620712,19.61199951,81031080,21.19553375,52.62050247,101443.8359,19.34672928,81030991,24.42239952,407.35
1771194652,1.917000055,33.81256485,-118.1620026,21.1420002,81034070,21.23572159,52.54053116,101438.6875,21.1408329,81033981,43.08480072,388.84
1771194655,1.189000011,33.81256866,-118.1620483,21.36199951,81037077,21.28595352,52.45533752,101438.0156,21.66928864,81036988,59.50079727,399.42
1771194658,0.344000012,33.81256104,-118.162117,21.84900093,81040085,21.33618546,52.37672424,101434.4531,22.26115799,81039996,59.67359924,396.77
1771194661,2.796999931,33.81241226,-118.1620483,21.3560009,81043114,21.39144135,52.30532074,101440.3359,21.0483532,81043025,37.95840073,383.55
1771194664,6.731999874,33.81268692,-118.1615524,75.72000122,81046080,21.43664932,52.25226593,101441.75,75.48184204,81045991,68.42880249,386.19
1771194667,1.582999945,33.81269455,-118.1614761,96.24500275,81049087,21.48185921,52.20576859,101437.375,95.70316315,81048998,44.29439926,387.52
1771194670,1.363000035,33.81270981,-118.1614532,100.8720016,81052073,21.52204514,52.13247681,101440.8672,100.3958359,81051984,36.34560013,387.52
1771194673,1.565000057,33.81272888,-118.1613998,109.1210022,81055080,21.56725502,52.01411819,101436.5078,108.8828201,81054991,47.46239853,384.87
1771194676,1.440000057,33.81274796,-118.1613846,112.7740021,81058066,21.612463,51.87623978,101435.0313,113.1236725,81057977,48.03839874,388.84
1771194679,1.139999986,33.81275558,-118.161377,114.0350037,81061073,21.64260292,51.78872299,101434.0391,114.9309845,81060984,47.80799866,396.77
1771194682,1.070000053,33.81276703,-118.1613693,113.6669998,81064080,21.67776489,51.70188522,101433.8594,113.9744873,81063991,47.69279861,396.77
1771194685,0.307999998,33.81268692,-118.1615982,84.06800079,81067087,21.72297478,51.60332108,101441.0156,83.22106171,81066998,47.75040054,396.77
1771194688,0.657000005,33.81267929,-118.1616211,80.33899689,81070073,21.7430687,51.51463318,101435.5469,80.30134583,81069984,47.34719849,387.52
1771194691,0.206,33.81256104,-118.161972,34.69900131,81073080,21.78827667,51.3966217,101439.8438,34.39183807,81072991,47.98080063,382.23
1771194694,0.147,33.81254959,-118.1620255,27.82999992,81076066,21.8184166,51.26374054,101438.8516,27.83107185,81075977,47.57759857,387.52
1771194697,0.015,33.81254578,-118.1620255,27.60099983,81079073,21.86362648,51.12635422,101437.3594,27.53513718,81078984,45.73439789,387.52
1771194700,0.063000001,33.81254578,-118.1620331,26.39500046,81082080,21.8937664,51.07815552,101436.375,26.57070541,81081991,50.57279968,387.52
1771194703,0.059999999,33.81254578,-118.1620407,26.72500038,81085065,21.92390442,51.01046753,101438.2734,26.41745377,81084976,48.95999908,380.9
1771194706,0.317000002,33.81254578,-118.1620483,25.57500076,81088072,21.94902039,50.96815491,101436.4766,25.5085125,81087983,48.84479904,387.52
1771194709,0.360000014,33.81254959,-118.1620483,25.31699944,81091079,21.96911621,50.8602562,101433.8984,25.31826782,81090990,62.49599838,378.26
1771194712,0.066,33.81254959,-118.1620483,25.29999924,81094086,22.00427628,50.65048218,101439.4688,24.92985344,81093997,58.69440079,386.19
1771194715,0.134000003,33.81254959,-118.162056,24.67499924,81097072,22.02939224,50.49800873,101434.7969,24.61013985,81096983,93.94559479,386.19
1771194718,0.240999997,33.81254196,-118.1620483,24.68700027,81100078,22.05451012,50.3197403,101438.7813,24.55465126,81099989,30.98880005,378.26
1771194721,0.071999997,33.81254196,-118.1620483,24.62000084,81103085,22.07962608,50.24519348,101439.875,24.31684685,81102996,95.15519714,382.23
1771194724,0.088,33.81253815,-118.162056,23.96299934,81106092,22.10474205,50.13832474,101432.3047,23.8967247,81106003,510.3935852,386.19
1771194727,0.061000001,33.81252289,-118.1620636,25.32600021,81109078,22.12985992,49.90222168,101424.75,26.28534126,81108989,462.9888,380.9
1771194730,0.050999999,33.81252289,-118.1620712,25.27700043,81112086,22.15999985,49.57671356,101435.2891,25.31826782,81111997,41.29919815,380.9
1771194733,0.114,33.8125267,-118.1620712,25.50600052,81115072,22.1650219,49.31949997,101430.3281,25.986763,81114983,36.05759811,376.94
1771194736,0.034000002,33.81252289,-118.1620789,25.14500046,81118080,22.18009186,49.07032394,101435.5938,24.96948814,81117991,41.64479828,384.87
1771194739,0.006,33.81252289,-118.1620789,24.90500069,81121066,22.20520782,48.91910934,101422.25,25.933918,81120977,39.8015976,382.23
1771194742,0.180999994,33.8125267,-118.1620865,25.08099937,81124074,22.23534775,48.85212708,101438.5781,24.94835091,81123985,25.28639984,380.9
1771194745,0.057999998,33.81251907,-118.1620865,24.31800079,81127081,22.25041962,48.81543732,101435.1953,24.07904243,81126992,18.9503994,386.19
1771194748,0.082999997,33.81251907,-118.1620865,24.375,81130089,22.26548767,48.77233505,101434.6953,24.13452911,81130000,17.45279884,382.23
1771194751,0.143999994,33.81251526,-118.1620712,25.91200066,81133077,22.26548767,48.57976913,101434.6953,25.49794388,81132988,541.0368042,383.55
1771194754,0.104000002,33.81251526,-118.1620712,25.875,81136084,22.28557968,48.32579422,101423.4453,26.59712982,81135995,544.3775635,384.87
1771194757,0.090000004,33.81251526,-118.1620712,26.01000023,81139071,22.31572151,47.990242,101439.7813,25.59570694,81138982,24.88319969,383.55
1771194760,0.063000001,33.81251907,-118.1620712,25.93499947,81142078,22.34585953,48.03227997,101432.9922,26.17700768,81141989,557.2799683,375.61
1771194763,0.195999995,33.81252289,-118.1620789,24.8010006,81145086,22.31572151,48.13097382,101431.1094,24.66827011,81144997,541.9008179,374.29
1771194766,0.261000007,33.81252289,-118.1620865,24.55599976,81148073,22.33581543,48.28067398,101434.3047,24.62335014,81147984,448.4736023,383.55
1771194769,0.166999996,33.8125267,-118.1620941,23.82999992,81151081,22.34585953,48.33955765,101435.8906,23.10932732,81150992,11.11679935,383.55
1771194772,0.072999999,33.8125267,-118.1620941,23.76600075,81154088,22.36595345,48.34841919,101439.0703,23.15424538,81153999,11.2319994,375.61
1771194775,0.097999997,33.81252289,-118.1620941,23.02700043,81157075,22.36595345,48.36764526,101433.2969,23.33392143,81156986,32.42879868,386.19
1771194778,0.204999998,33.8125267,-118.1620941,23.43099976,81160082,22.39609337,48.41619873,101435.1797,23.78046417,81159993,5.932799816,375.61
1771194781,0.07,33.8125267,-118.1620865,23.73500061,81163068,22.40613937,48.46871948,101436.7734,23.71176529,81162979,4.435199738,396.77
