gpsUnix,gpsGroundSpeed,gpsLat,gpsLon,gpsAlt,bmeUtc,bmeTemp,bmeHum,bmePres,bmeAlt,vemlUtc,vemlLux,batt
1775321950,1.958999991,37.64570236,-119.0252914,2767.486084,61132098,15.48430443,15.21995163,73620.30469,2767.797852,61132009,6628.069824,454.97
1775321953,1.172000051,37.6456604,-119.0252762,2766.404053,61135088,15.60485554,15.76539516,73620.03125,2766.780518,61134999,6.451200008,461.58
1775321956,2.674000025,37.64559555,-119.0252533,2765.799072,61138098,15.71535778,16.93021965,73629.96094,2764.95459,61138059,1.843199968,437.77
1775321959,3.489000082,37.64551926,-119.0252228,2765.374023,61141087,15.82586384,18.04658699,73617.14844,2765.319336,61140998,0.727199972,439.1
1775321962,3.246000052,37.64543533,-119.0251999,2764.750977,61144095,15.91627502,18.85325623,73593.46875,2765.802734,61143306,6.199199677,440.42
1775321965,3.753999949,37.64534378,-119.0251617,2764.926025,61147082,16.02678108,19.42303848,73597.70313,2765.179199,61146293,4.172399998,429.84
1775321968,4.143000126,37.64524078,-119.0251236,2765.270996,61150090,16.13226318,19.85495377,73584.29688,2765.890137,61149301,5.831999779,432.48
1775321971,4.592000008,37.64513397,-119.0250778,2766.193115,61153075,16.22267532,20.18331528,73571.97656,2766.875732,61152286,12.55679989,435.13
1775321974,4.909999847,37.6450119,-119.0250244,2770.366943,61156082,16.31308937,20.53891754,73556.80469,2770.743896,61155293,0.622799993,436.45
1775321977,4.850999832,37.6448822,-119.0249634,2774.215088,61159089,16.39847946,20.91120911,73532.51563,2773.919922,61158300,1.026000023,429.84
1775321980,4.462999821,37.64475632,-119.0249252,2776.230957,61162075,16.4788475,21.20014381,73490.57031,2776.303223,61161286,3.13199997,417.94
1775321983,4.872000217,37.64463043,-119.0248642,2780.532959,61165082,16.56925964,21.46933365,73449.75781,2780.850586,61164293,2.195999861,435.13
1775321986,4.756000042,37.64450455,-119.0248184,2784.729004,61168089,16.62953568,21.63154602,73414.00781,2784.124268,61167300,2.404799938,429.84
1775321989,4.757999897,37.64438248,-119.0247726,2789.158936,61171097,16.70488167,21.73134995,73368.59375,2788.249023,61170308,2.336400032,424.55
1775321992,4.46999979,37.64426041,-119.0247192,2793.687988,61174083,16.7752018,21.80975914,73311.20313,2793.020996,61173294,2.5704,424.55
1775321995,4.714000225,37.64414215,-119.0246735,2798.965088,61177090,16.82543182,21.84459686,73260.03906,2799.5896,61176301,3.175199986,421.9
1775321998,4.443999767,37.6440239,-119.0246277,2804.644043,61180076,16.88570786,21.88006401,73207.17969,2804.533203,61179287,3.93840003,420.58
1775322001,4.627999783,37.64390564,-119.0245819,2810.760986,61183083,16.94095993,21.86749077,73156.5625,2810.83252,61182294,1.717199922,421.9
